depression	Depressão	%!s(MISSING)
depression-en	Depression	%!s(MISSING)
anxiety	Ansiedade	%!s(MISSING)
anxiety-en	Anxiety	%!s(MISSING)
edinburgh	Inventário de Edinburgh	%!s(MISSING)
edinburgh-en	Edinburgh's Inventory	%!s(MISSING)
pcl-m	PCL-M	%!s(MISSING)
stroopemocao	Stroop Emocional	%!s(MISSING)
procast-student	Procastinator Student	%!s(MISSING)
procast-student-pt	Procastinador Estudantil	%!s(MISSING)
