C:\Users\LAB\Documents\My Experiments\raven\raven-25-32.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	BlockList	BlockList.Cycle	BlockList.Sample	Procedure[Block]	Running[Block]	Trial	Correct	Image	Image.ACC	Image.CRESP	Image.RESP	Image.RT	Image.RTTime	Procedure[Trial]	Running[Trial]	TrialList	TrialList.Cycle	TrialList.Sample
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	11	4	img\sA-11.png	0	4	5	138	20240	TrialProc	TrialList	11	1	11
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	12	5	img\sA-12.png	0	5	6	122	20391	TrialProc	TrialList	12	1	12
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	13	2	img\sB-1.png	0	2	1	165	20584	TrialProc	TrialList	13	1	13
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	14	6	img\sB-2.png	0	6	2	141	20760	TrialProc	TrialList	14	1	14
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	15	1	img\sB-3.png	0	1	3	128	20914	TrialProc	TrialList	15	1	15
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	16	2	img\sB-4.png	0	2	4	152	21104	TrialProc	TrialList	16	1	16
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	17	1	img\sB-5.png	0	1	5	131	21267	TrialProc	TrialList	17	1	17
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	18	3	img\sB-6.png	0	3	5	122	21424	TrialProc	TrialList	18	1	18
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	19	5	img\sB-7.png	0	5	6	147	21599	TrialProc	TrialList	19	1	19
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	20	3	img\sB-8.png	0	3	2	197	21833	TrialProc	TrialList	20	1	20
