C:\Users\LAB\Documents\My Experiments\raven\raven-1-1.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	BlockList	BlockList.Cycle	BlockList.Sample	Procedure[Block]	Running[Block]	Trial	Correct	Image	Image.ACC	Image.CRESP	Image.RESP	Image.RT	Image.RTTime	Procedure[Trial]	Running[Trial]	TrialList	TrialList.Cycle	TrialList.Sample
raven	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T12:40:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">3383253011</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T12:40:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-1-1	59.999	1.0.0.29	1	-911523634	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 12:40:36	10:40:36	2.0.10.248	1	1	1	1	BlockProc	BlockList	1	4	img\sA-1.png	1	4	4	1346	7555	TrialProc	TrialList	1	1	1
raven	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T12:40:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">3383253011</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T12:40:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-1-1	59.999	1.0.0.29	1	-911523634	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 12:40:36	10:40:36	2.0.10.248	1	1	1	1	BlockProc	BlockList	2	5	img\sA-2.png	1	5	5	724	8317	TrialProc	TrialList	2	1	2
raven	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T12:40:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">3383253011</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T12:40:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-1-1	59.999	1.0.0.29	1	-911523634	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 12:40:36	10:40:36	2.0.10.248	1	1	1	1	BlockProc	BlockList	3	1	img\sA-3.png	1	1	1	694	9037	TrialProc	TrialList	3	1	3
raven	1	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T12:40:36Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">3383253011</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T12:40:36Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-1-1	59.999	1.0.0.29	1	-911523634	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 12:40:36	10:40:36	2.0.10.248	1	1	1	1	BlockProc	BlockList	4	2	img\sA-4.png	1	2	2	586	9662	TrialProc	TrialList	4	1	4
